start,start_time,end,end_time
Mariehamn,2023-05-08 11:27:39,Stockholm,2023-05-08 16:48:28
Stockholm,2023-05-08 17:58:47,Turku,2023-05-09 04:30:28
Turku,2023-05-09 05:45:38,Mariehamn,2023-05-09 11:11:44
Mariehamn,2023-05-09 11:26:34,Stockholm,2023-05-09 16:52:49
Stockholm,2023-05-09 18:07:59,Turku,2023-05-10 04:35:07
Turku,2023-05-10 05:45:26,Mariehamn,2023-05-10 11:11:31
Mariehamn,2023-05-10 11:31:36,Stockholm,2023-05-10 16:47:32
Stockholm,2023-05-10 18:02:42,Turku,2023-05-11 04:34:51
Turku,2023-05-11 05:45:00,Mariehamn,2023-05-11 11:11:01
Mariehamn,2023-05-11 11:31:10,Stockholm,2023-05-11 16:57:12
Stockholm,2023-05-11 18:22:21,Turku,2023-05-12 04:34:02
Turku,2023-05-12 05:44:22,Mariehamn,2023-05-12 11:15:18
Mariehamn,2023-05-12 11:25:15,Stockholm,2023-05-12 16:56:24
Stockholm,2023-05-12 18:16:44,Turku,2023-05-13 04:38:38
Turku,2023-05-13 05:48:55,Mariehamn,2023-05-13 11:15:01
Mariehamn,2023-05-13 11:30:05,Stockholm,2023-05-13 16:55:51
Stockholm,2023-05-13 18:01:02,Turku,2023-05-14 04:38:13
Turku,2023-05-14 05:48:22,Mariehamn,2023-05-14 11:14:18
Mariehamn,2023-05-14 11:29:17,Stockholm,2023-05-14 16:55:27
Stockholm,2023-05-14 18:15:37,Turku,2023-05-15 04:37:35
Turku,2023-05-15 05:42:46,Mariehamn,2023-05-15 11:13:45
Mariehamn,2023-05-15 11:23:56,Stockholm,2023-05-15 16:54:48
Stockholm,2023-05-15 18:10:09,Turku,2023-05-16 04:36:53
Turku,2023-05-16 05:42:09,Mariehamn,2023-05-16 11:13:02
Mariehamn,2023-05-16 11:32:43,Stockholm,2023-05-16 16:54:02
Stockholm,2023-05-16 18:24:22,Turku,2023-05-17 04:41:06
Turku,2023-05-17 05:51:23,Mariehamn,2023-05-17 11:17:07
