start,start_time,end,end_time
Tallinn,2023-04-05 10:17:53,Helsinki,2023-04-05 12:38:09
Helsinki,2023-04-05 13:18:21,Tallinn,2023-04-05 15:33:17
Tallinn,2023-04-05 16:13:56,Helsinki,2023-04-05 18:34:14
Helsinki,2023-04-05 19:19:17,Tallinn,2023-04-05 21:29:46
Tallinn,2023-04-06 04:15:47,Helsinki,2023-04-06 06:33:49
Helsinki,2023-04-06 07:16:13,Tallinn,2023-04-06 09:31:39
Tallinn,2023-04-06 10:16:51,Helsinki,2023-04-06 12:36:35
Helsinki,2023-04-06 13:17:26,Tallinn,2023-04-06 15:32:47
Tallinn,2023-04-06 16:18:02,Helsinki,2023-04-06 18:33:21
Helsinki,2023-04-06 19:18:39,Tallinn,2023-04-06 21:34:02
Tallinn,2023-04-07 04:15:20,Helsinki,2023-04-07 06:35:40
Helsinki,2023-04-07 07:20:55,Tallinn,2023-04-07 09:31:21
Tallinn,2023-04-07 10:16:30,Helsinki,2023-04-07 12:36:53
Helsinki,2023-04-07 13:17:03,Tallinn,2023-04-07 15:32:11
Tallinn,2023-04-07 16:17:37,Helsinki,2023-04-07 18:33:04
Helsinki,2023-04-07 19:18:11,Tallinn,2023-04-07 21:33:35
Tallinn,2023-04-08 04:19:55,Helsinki,2023-04-08 06:35:16
Helsinki,2023-04-08 07:20:29,Tallinn,2023-04-08 09:30:52
Tallinn,2023-04-08 10:16:04,Helsinki,2023-04-08 12:35:09
Helsinki,2023-04-08 13:16:35,Tallinn,2023-04-08 15:32:01
Tallinn,2023-04-08 16:17:07,Helsinki,2023-04-08 18:37:28
Helsinki,2023-04-08 19:12:39,Tallinn,2023-04-08 21:32:59
Tallinn,2023-04-09 04:14:22,Helsinki,2023-04-09 06:34:47
Helsinki,2023-04-09 07:14:53,Tallinn,2023-04-09 09:35:18
Tallinn,2023-04-09 10:15:30,Helsinki,2023-04-09 12:34:31
Helsinki,2023-04-09 13:15:59,Tallinn,2023-04-09 15:34:35
Tallinn,2023-04-09 16:16:32,Helsinki,2023-04-09 18:36:56
Helsinki,2023-04-09 19:17:07,Tallinn,2023-04-09 21:36:51
Tallinn,2023-04-10 04:18:55,Helsinki,2023-04-10 06:34:27
Helsinki,2023-04-10 07:14:33,Tallinn,2023-04-10 09:30:03
Tallinn,2023-04-10 10:20:15,Helsinki,2023-04-10 12:35:29
