start,start_time,end,end_time
Trelleborg,2023-07-07 20:03:38,Travemunde,2023-07-08 05:30:26
Travemunde,2023-07-08 07:55:44,Trelleborg,2023-07-08 15:22:22
Trelleborg,2023-07-08 21:08:20,Travemunde,2023-07-09 05:34:49
Travemunde,2023-07-09 07:30:01,Trelleborg,2023-07-09 15:31:35
Trelleborg,2023-07-09 20:02:23,Travemunde,2023-07-10 05:34:03
Travemunde,2023-07-10 07:24:23,Trelleborg,2023-07-10 15:45:47
Trelleborg,2023-07-10 20:01:34,Travemunde,2023-07-11 05:33:04
Travemunde,2023-07-11 07:28:20,Rostock,2023-07-11 11:04:06
Rostock,2023-07-11 11:09:12,Trelleborg,2023-07-11 17:45:19
Trelleborg,2023-07-11 20:00:44,Travemunde,2023-07-12 05:07:37
Travemunde,2023-07-12 07:32:55,Rostock,2023-07-12 11:08:40
Rostock,2023-07-12 12:08:49,Trelleborg,2023-07-12 17:34:49
Trelleborg,2023-07-12 20:00:11,Travemunde,2023-07-13 05:31:56
Travemunde,2023-07-13 07:32:17,Trelleborg,2023-07-13 16:13:56
Trelleborg,2023-07-13 20:04:25,Travemunde,2023-07-14 05:36:02
Travemunde,2023-07-14 07:31:30,Trelleborg,2023-07-14 15:38:12
Trelleborg,2023-07-14 20:08:57,Travemunde,2023-07-15 05:29:29
Travemunde,2023-07-15 07:45:52,Trelleborg,2023-07-15 15:22:08
Trelleborg,2023-07-15 20:12:47,Travemunde,2023-07-16 05:24:21
Travemunde,2023-07-16 07:32:22,Trelleborg,2023-07-16 15:20:52
Trelleborg,2023-07-16 19:56:38,Travemunde,2023-07-17 05:27:12
Travemunde,2023-07-17 07:28:11,Trelleborg,2023-07-17 15:19:47
Trelleborg,2023-07-17 19:35:27,Travemunde,2023-07-18 04:56:31
Travemunde,2023-07-18 07:32:08,Trelleborg,2023-07-18 15:53:49
Trelleborg,2023-07-18 20:04:37,Travemunde,2023-07-19 05:20:54
Travemunde,2023-07-19 07:31:25,Trelleborg,2023-07-19 16:17:57
Trelleborg,2023-07-19 19:58:31,Travemunde,2023-07-20 05:25:17
Travemunde,2023-07-20 07:40:43,Trelleborg,2023-07-20 15:27:09
Trelleborg,2023-07-20 20:03:05,Travemunde,2023-07-21 05:29:45
Travemunde,2023-07-21 07:35:09,Trelleborg,2023-07-21 15:31:25
Trelleborg,2023-07-21 20:02:14,Travemunde,2023-07-22 05:18:57
Travemunde,2023-07-22 07:38:23,Trelleborg,2023-07-22 15:10:43
Trelleborg,2023-07-22 19:59:53,Travemunde,2023-07-23 05:33:05
Travemunde,2023-07-23 07:38:29,Trelleborg,2023-07-23 15:09:42
Trelleborg,2023-07-23 19:55:31,Travemunde,2023-07-24 05:27:10
Travemunde,2023-07-24 07:32:35,Trelleborg,2023-07-24 15:34:17
Trelleborg,2023-07-24 19:24:17,Travemunde,2023-07-25 05:11:57
Travemunde,2023-07-25 07:37:18,Trelleborg,2023-07-25 15:43:35
Trelleborg,2023-07-25 20:04:37,Travemunde,2023-07-26 05:41:08
Travemunde,2023-07-26 07:36:35,Trelleborg,2023-07-26 15:38:05
Trelleborg,2023-07-26 20:08:49,Travemunde,2023-07-27 05:30:17
Travemunde,2023-07-27 07:35:46,Trelleborg,2023-07-27 15:37:01
Trelleborg,2023-07-27 20:02:55,Travemunde,2023-07-28 05:34:36
Travemunde,2023-07-28 07:40:03,Trelleborg,2023-07-28 15:26:25
Trelleborg,2023-07-28 20:02:28,Travemunde,2023-07-29 05:28:56
Travemunde,2023-07-29 08:09:36,Trelleborg,2023-07-29 15:15:56
Trelleborg,2023-07-29 20:01:35,Travemunde,2023-07-30 05:33:23
Travemunde,2023-07-30 07:28:40,Trelleborg,2023-07-30 15:15:14
Trelleborg,2023-07-30 20:01:01,Travemunde,2023-07-31 05:32:29
Travemunde,2023-07-31 07:32:47,Trelleborg,2023-07-31 15:29:07
Trelleborg,2023-07-31 19:29:53,Travemunde,2023-08-01 04:56:42
Travemunde,2023-08-01 07:32:00,Trelleborg,2023-08-01 15:43:31
Trelleborg,2023-08-01 20:03:46,Travemunde,2023-08-02 05:30:58
Travemunde,2023-08-02 07:36:18,Trelleborg,2023-08-02 15:27:41
Trelleborg,2023-08-02 20:03:20,Travemunde,2023-08-03 05:40:08
Travemunde,2023-08-03 07:30:28,Trelleborg,2023-08-03 15:36:42
Trelleborg,2023-08-03 20:02:22,Travemunde,2023-08-04 05:28:48
Travemunde,2023-08-04 07:34:13,Trelleborg,2023-08-04 15:10:25
Trelleborg,2023-08-04 20:01:18,Travemunde,2023-08-05 05:27:52
Travemunde,2023-08-05 07:33:04,Trelleborg,2023-08-05 15:14:14
Trelleborg,2023-08-05 20:00:06,Travemunde,2023-08-06 05:26:43
Travemunde,2023-08-06 07:31:58,Trelleborg,2023-08-06 15:18:19
Trelleborg,2023-08-06 19:54:19,Travemunde,2023-08-07 06:46:21
Travemunde,2023-08-08 07:40:52,Trelleborg,2023-08-08 16:07:10
